Bloomberg Code,Yahoo Code
TWX UN Equity,TWX
TGT UN Equity,TGT
CELG UW Equity,CELG
DOW UN Equity,DOW
EMC UN Equity,EMC
EMR UN Equity,EMR
GM UN Equity,GM
KMI UN Equity,KMI
V UN Equity,V
FB UW Equity,FB
FDX UN Equity,FDX
GILD UW Equity,GILD
F UN Equity,F
BIIB UW Equity,BIIB
GD UN Equity,GD
PYPL UW Equity,PYPL
HAL UN Equity,HAL
QCOM UW Equity,QCOM
SBUX UW Equity,SBUX
USB UN Equity,USB
AGN UN Equity,AGN
MS UN Equity,MS
ALL UN Equity,ALL
LLY UN Equity,LLY
LOW UN Equity,LOW
SPG UN Equity,SPG
UPS UN Equity,UPS
MDT UN Equity,MDT
CVS UN Equity,CVS
LMT UN Equity,LMT
COF UN Equity,COF
FOXA UW Equity,FOXA
NKE UN Equity,NKE
NSC UN Equity,NSC
WFC UN Equity,WFC
YHOO UW Equity,YHOO
MDLZ UW Equity,MDLZ
SRCL UW Equity,SRCL
TSCO UW Equity,TSCO
DISH UW Equity,DISH
AMZN UW Equity,AMZN
ALXN UW Equity,ALXN
BMRN UW Equity,BMRN
CHRW UW Equity,CHRW
GOOG UW Equity,GOOG
CHTR UW Equity,CHTR
CSCO UW Equity,CSCO
INTC UW Equity,INTC
BRCM UW Equity,BRCM
MSFT UW Equity,MSFT
NVDA UW Equity,NVDA
CTSH UW Equity,CTSH
ISRG UW Equity,ISRG
EBAY UW Equity,EBAY
PCLN UW Equity,PCLN
ILMN UW Equity,ILMN
JD UW Equity,JD
AKAM UW Equity,AKAM
TXN UW Equity,TXN
KHC UW Equity,KHC
GOOGL UW Equity,GOOGL
WDC UW Equity,WDC
NFLX UW Equity,NFLX
ADP UW Equity,ADP
GRMN UW Equity,GRMN
WBA UW Equity,WBA
STX UW Equity,STX
ADBE UW Equity,ADBE
AMGN UW Equity,AMGN
AAPL UW Equity,AAPL
ADSK UW Equity,ADSK
DISCK UW Equity,DISCK
CMCSA UW Equity,CMCSA
LBTYK UW Equity,LBTYK
KLAC UW Equity,KLAC
AVGO UW Equity,AVGO
PCAR UW Equity,PCAR
CA UW Equity,CA
WYNN UW Equity,WYNN
COST UW Equity,COST
QVCA UW Equity,QVCA
REGN UW Equity,REGN
SWKS UW Equity,SWKS
ATVI UW Equity,ATVI
ALTR UW Equity,ALTR
AMAT UW Equity,AMAT
BBBY UW Equity,BBBY
CELG UW Equity,CELG
CERN UW Equity,CERN
DISCA UW Equity,DISCA
VIAB UW Equity,VIAB
AAL UW Equity,AAL
FOX UW Equity,FOX
EA UW Equity,EA
ESRX UW Equity,ESRX
EXPD UW Equity,EXPD
FAST UW Equity,FAST
TRIP UW Equity,TRIP
HSIC UW Equity,HSIC
FISV UW Equity,FISV
CMCSK UW Equity,CMCSK
GILD UW Equity,GILD
FB UW Equity,FB
LRCX UW Equity,LRCX
BIIB UW Equity,BIIB
LLTC UW Equity,LLTC
SBAC UW Equity,SBAC
VRTX UW Equity,VRTX
ADI UW Equity,ADI
PAYX UW Equity,PAYX
VIP UW Equity,VIP
QCOM UW Equity,QCOM
MAR UW Equity,MAR
ROST UW Equity,ROST
SBUX UW Equity,SBUX
SPLS UW Equity,SPLS
SYMC UW Equity,SYMC
VOD UW Equity,VOD
WFM UW Equity,WFM
XLNX UW Equity,XLNX
LMCA UW Equity,LMCA
INTU UW Equity,INTU
MNST UW Equity,MNST
CHKP UW Equity,CHKP
ORLY UW Equity,ORLY
TSLA UW Equity,TSLA
LVNTA UW Equity,LVNTA
NXPI UW Equity,NXPI
GMCR UW Equity,GMCR
LILAK UW Equity,LILAK
LILA UW Equity,LILA
MAT UW Equity,MAT
SIRI UW Equity,SIRI
MU UW Equity,MU
BIDU UW Equity,BIDU
MYL UW Equity,MYL
VRSK UW Equity,VRSK
DLTR UW Equity,DLTR
LMCK UW Equity,LMCK
FOXA UW Equity,FOXA
SNDK UW Equity,SNDK
NTAP UW Equity,NTAP
LBTYA UW Equity,LBTYA
CTXS UW Equity,CTXS
GS UN Equity,GS
IBM UN Equity,IBM
MMM UN Equity,MMM
BA UN Equity,BA
UNH UN Equity,UNH
HD UN Equity,HD
AAPL UW Equity,AAPL
DIS UN Equity,DIS
TRV UN Equity,TRV
MCD UN Equity,MCD
JNJ UN Equity,JNJ
UTX UN Equity,UTX
AXP UN Equity,AXP
CVX UN Equity,CVX
XOM UN Equity,XOM
V UN Equity,V
PG UN Equity,PG
WMT UN Equity,WMT
JPM UN Equity,JPM
MRK UN Equity,MRK
DD UN Equity,DD
VZ UN Equity,VZ
MSFT UW Equity,MSFT
KO UN Equity,KO
PFE UN Equity,PFE
INTC UW Equity,INTC
CSCO UW Equity,CSCO
GE UN Equity,GE
