ID_ISIN,Bloomberg,Yahoo,Industry
DK0010181759,CARLB DC Equity,CARL-B.CO,Beverages
US1912161007,KO UN Equity,KO,Beverages
US61174X1090,MNST UW Equity,MNST,Beverages
US7134481081,PEP UN Equity,PEP,Beverages
BE0974293251,ABI BB Equity,ABI.BR,Beverages
GB00BJVD3B28,CIR LN Equity,CIR.L,Biotechnology
US0153511094,ALXN UW Equity,ALXN,Biotechnology
US0311621009,AMGN UW Equity,AMGN,Biotechnology
US09062X1037,BIIB UW Equity,BIIB,Biotechnology
US09061G1013,BMRN UW Equity,BMRN,Biotechnology
US1510201049,CELG UW Equity,CELG,Biotechnology
DK0010272202,GEN DC Equity,GEN.CO,Biotechnology
US3755581036,GILD UW Equity,GILD,Biotechnology
US4523271090,ILMN UW Equity,ILMN,Biotechnology
US75886F1075,REGN UW Equity,REGN,Biotechnology
US92532F1003,VRTX UW Equity,VRTX,Biotechnology
US45337C1027,INCY UW Equity,INCY,Biotechnology
IE0001827041,CRH LN Equity,CRH.L,Building Materials
GB00B012BV22,MSLH LN Equity,MSLH.L,Building Materials
GB00BKRC5K31,PLP LN Equity,PLP.L,Building Materials
GB00BYXJC278,IBST LN Equity,IBST.L,Building Materials
FR0000125007,SGO FP Equity,SGO.PA,Building Materials
CH0012214059,LHN FP Equity,LHN.PA,Building Materials
DE0006047004,HEI GY Equity,HEI.DE,Building Materials
CH0030170408,GEBN VX Equity,GEBN.VX,Building Materials
CH0012214059,LHN VX Equity,LHN.VX,Building Materials
GB00BZ4BQC70,JMAT LN Equity,JMAT.L,Chemicals
GB00BYZWX769,CRDA LN Equity,CRDA.L,Chemicals
GB00B0744359,ESNT LN Equity,ESNT.L,Chemicals
GB0009292243,VCT LN Equity,VCT.L,Chemicals
GB0002418548,ELM LN Equity,ELM.L,Chemicals
GB0009887422,SYNT LN Equity,SYNT.L,Chemicals
FR0000120073,AI FP Equity,AI.PA,Chemicals
BE0003470755,SOLB BB Equity,SOLB.BR,Chemicals
DE000BASF111,BAS GY Equity,BAS.DE,Chemicals
DE0006483001,LIN GY Equity,LIN.DE,Chemicals
NL0000009827,DSM NA Equity,DSM.AS,Chemicals
NL0000009132,AKZA NA Equity,AKZA.AS,Chemicals
US2635341090,DD UN Equity,DD,Chemicals
US2605431038,DOW UN Equity,DOW,Chemicals
CH0010645932,GIVN VX Equity,GIVN.VX,Chemicals
FI0009004824,KRA1V FH Equity,KRA1V.HE,Chemicals
US61166W1018,MON UN Equity,MON,Chemicals
DK0060336014,NZYMB DC Equity,NZYM-B.CO,Chemicals
CH0011037469,SYNN VX Equity,SYNN.VX,Chemicals
NO0010208051,YAR NO Equity,YAR.OL,Chemicals
GB00B2B0DG97,REL LN Equity,REL.L,Commercial Services
GB00B19NLV48,EXPN LN Equity,EXPN.L,Commercial Services
GB00B23K0M20,CPI LN Equity,CPI.L,Commercial Services
GB0031638363,ITRK LN Equity,ITRK.L,Commercial Services
GB0009697037,BAB LN Equity,BAB.L,Commercial Services
GB0000536739,AHT LN Equity,AHT.L,Commercial Services
GB00B082RF11,RTO LN Equity,RTO.L,Commercial Services
GB00B01FLG62,GFS LN Equity,GFS.L,Commercial Services
GB00BK1PTB77,AGK LN Equity,AGK.L,Commercial Services
JE00B2R84W06,UBM LN Equity,UBM.L,Commercial Services
GB00B0F99717,BRSN LN Equity,BRSN.L,Commercial Services
GB0004161021,HAS LN Equity,HAS.L,Commercial Services
GB00BMSKPJ95,AA/ LN Equity,AA.L,Commercial Services
GB00B0WMWD03,QQ/ LN Equity,QQ.L,Commercial Services
GB0000608009,ATK LN Equity,ATK.L,Commercial Services
GB00BRB37M78,DTY LN Equity,DTY.L,Commercial Services
GB0030232317,MPI LN Equity,MPI.L,Commercial Services
GB00B135BJ46,SVS LN Equity,SVS.L,Commercial Services
GB00B41H7391,NTG LN Equity,NTG.L,Commercial Services
GB0001528156,IRV LN Equity,IRV.L,Commercial Services
NL0006144495,REN NA Equity,REN.AS,Commercial Services
NL0000379121,RAND NA Equity,RAND.AS,Commercial Services
ES0111845014,ABE SM Equity,ABE.MC,Commercial Services
CH0012138605,ADEN VX Equity,ADEN.VX,Commercial Services
US0530151036,ADP UW Equity,ADP,Commercial Services
DK0060542181,ISS DC Equity,ISS.CO,Commercial Services
US70450Y1038,PYPL UW Equity,PYPL,Commercial Services
CH0002497458,SGSN VX Equity,SGSN.VX,Commercial Services
US92345Y1064,VRSK UW Equity,VRSK,Commercial Services
JE00BD9WR069,UBM LN Equity,UBM.L,Commercial Services
JE00BYVQYS01,IWG LN Equity,IWG.L,Commercial Services
GB00BYM8GJ06,ASCL LN Equity,ASCL.L,Commercial Services
SE0000163594,SECUB SS Equity,SECU-B.ST,Commercial Services
DK0060745370,NETS DC Equity,NETS.CO,Commercial Services
US1729081059,CTAS UW Equity,CTAS,Commercial Services
US73935S1050,DBC US,DBC,Commodity Fund
US91232N1081,USO US,USO,Commodity Fund
US9123182019,UNG US,UNG,Commodity Fund
US78463V1070,GLD US,GLD,Commodity Fund
US46428Q1094,SLV US,SLV,Commodity Fund
GB0007973794,SRP LN Equity,SRP.L,Computers
GB00B01QGK86,NCC LN Equity,NCC.L,Computers
GB00BV9FP302,CCC LN Equity,CCC.L,Computers
GB00BYZFZ918,SOPH LN Equity,SPH.L,Computers
GB00BYZDVK82,SCT LN Equity,SCT.L,Computers
FR0000125338,CAP FP Equity,CAP.PA,Computers
NL0000400653,GTO NA Equity,GTO.AS,Computers
ES0118594417,IDR SM Equity,IDR.MC,Computers
US0378331005,AAPL UW Equity,AAPL,Computers
IE00B4BNMY34,ACN UN Equity,ACN,Computers
US1924461023,CTSH UW Equity,CTSH,Computers
US4592001014,IBM UN Equity,IBM,Computers
US64110D1046,NTAP UW Equity,NTAP,Computers
IE00B58JVZ52,STX UW Equity,STX,Computers
FI0009000277,TIE1V FH Equity,TIE1V.HE,Computers
US9581021055,WDC UW Equity,WDC,Computers
GB00B10RZP78,ULVR LN Equity,ULVR.L,Cosmetics/Personal Care
GB00B19Z1432,PZC LN Equity,PZC.L,Cosmetics/Personal Care
FR0000120321,OR FP Equity,OR.PA,Cosmetics/Personal Care
DE0005200000,BEI GY Equity,BEI.DE,Cosmetics/Personal Care
NL0000009355,UNA NA Equity,UNA.AS,Cosmetics/Personal Care
US1941621039,CL UN Equity,CL,Cosmetics/Personal Care
US7427181091,PG UN Equity,PG,Cosmetics/Personal Care
SE0000112724,SCAB SS Equity,SCA-B.ST,Cosmetics/Personal Care
US4642874576,SHY US,SHY,Debt Fund
US4642874402,IEF US,IEF,Debt Fund
US4642874329,TLT US,TLT,Debt Fund
US4642872265,AGG US,AGG,Debt Fund
US9219378356,BND US,BND,Debt Fund
US4642871762,TIP US,TIP,Debt Fund
JE00BFNWV485,WOS LN Equity,WOS.L,Distribution/Wholesale
GB00B0744B38,BNZL LN Equity,BNZL.L,Distribution/Wholesale
GB00B61TVQ02,INCH LN Equity,INCH.L,Distribution/Wholesale
GB0001826634,DPLM LN Equity,DPLM.L,Distribution/Wholesale
GB0008025412,SHI LN Equity,SHI.L,Distribution/Wholesale
CA29382B1022,ETO LN Equity,ETO.L,Distribution/Wholesale
US3119001044,FAST UW Equity,FAST,Distribution/Wholesale
GB00B0SWJX34,LSE LN Equity,LSE.L,Diversified Finan Serv
GB00B1Z4ST84,PFG LN Equity,PFG.L,Diversified Finan Serv
GB00BYYK2V80,WPG LN Equity,ICP.L,Diversified Finan Serv
GB0002405495,SDR LN Equity,SDR.L,Diversified Finan Serv
GB00B1VZ0M25,HL/ LN Equity,HL.L,Diversified Finan Serv
GB00B06QFB75,IGG LN Equity,IGG.L,Diversified Finan Serv
GB0000031285,ADN LN Equity,ADN.L,Diversified Finan Serv
JE00B3CM9527,HGG LN Equity,HGG.L,Diversified Finan Serv
GB0033872168,IAP LN Equity,IAP.L,Diversified Finan Serv
GB00BYY5B507,ICP LN Equity,ICP.L,Diversified Finan Serv
GB00B83VD954,EMG LN Equity,EMG.L,Diversified Finan Serv
GB0007668071,CBG LN Equity,CBG.L,Diversified Finan Serv
GB00B53P2009,JUP LN Equity,JUP.L,Diversified Finan Serv
