ID_ISIN,Bloomberg,Yahoo,Industry
DK0060448595,COLOB DC Equity,COLO-B.CO,Healthcare-Products
US8064071025,HSIC UW Equity,HSIC,Healthcare-Products
US46120E6023,ISRG UW Equity,ISRG,Healthcare-Products
IE00BTN1Y115,MDT UN Equity,MDT,Healthcare-Products
DK0010268440,WDH DC Equity,WDH.CO,Healthcare-Products
US2358511028,DHR UN Equity,DHR,Healthcare-Products
SE0000202624,GETIB SS Equity,GETI-B.ST,Healthcare-Products
GB00BD3VFW73,CTEC LN Equity,CTEC.L,Healthcare-Products
DK0060738599,WDH DC Equity,WDC.CO,Healthcare-Products
US4364401012,HOLX UW Equity,HOLX,Healthcare-Products
US24906P1093,XRAY UW Equity,XRAY,Healthcare-Products
GB00B8HX8Z88,MDC LN Equity,SGE.L,Healthcare-Services
IE0033024807,UDG LN Equity,UDG.L,Healthcare-Services
GB00BNLPYF73,SPI LN Equity,SPI.L,Healthcare-Services
GB00B7FC0762,NMC LN Equity,NMC.L,Healthcare-Services
DE0005785604,FRE GY Equity,FRE.DE,Healthcare-Services
DE0005785802,FME GY Equity,FME.DE,Healthcare-Services
US91324P1021,UNH UN Equity,UNH,Healthcare-Services
GB0004657408,MTO LN Equity,MTO.L,Holding Companies-Divers
GB0008782301,TW/ LN Equity,TW.L,Home Builders
GB0006825383,PSN LN Equity,PSN.L,Home Builders
GB0000811801,BDEV LN Equity,BDEV.L,Home Builders
GB00B02L3W35,BKG LN Equity,BKG.L,Home Builders
GB0000904986,BWY LN Equity,BWY.L,Home Builders
GB00B8VZXT93,CRST LN Equity,CRST.L,Home Builders
GB0001859296,BVS LN Equity,BVS.L,Home Builders
GB00B3Y2J508,GFRD LN Equity,GFRD.L,Home Builders
GB0007282386,RDW LN Equity,RDW.L,Home Builders
FI0009800643,YTY1V FH Equity,YTY1V.HE,Home Builders
GB00BYPHNG03,CSP LN Equity,CSP.L,Home Builders
GB0005576813,HWDN LN Equity,HWDN.L,Home Furnishings
SE0000103814,ELUXB SS Equity,ELUX-B.ST,Home Furnishings
GB00B24CGK77,RB/ LN Equity,RB.L,Household Products/Wares
DE0006048432,HEN3 GY Equity,HEN3.DE,Household Products/Wares
GB0007099541,PRU LN Equity,PRU.L,Insurance
GB0002162385,AV/ LN Equity,AV.L,Insurance
GB0005603997,LGEN LN Equity,LGEN.L,Insurance
GB00B77J0862,OML LN Equity,OML.L,Insurance
GB00BVFD7Q58,SL/ LN Equity,SL.L,Insurance
GB00BY9D0Y18,DLG LN Equity,DLG.L,Insurance
GB00BKKMKR23,RSA LN Equity,RSA.L,Insurance
GB0007669376,STJ LN Equity,STJ.L,Insurance
GB00B02J6398,ADM LN Equity,ADM.L,Insurance
BMG4593F1389,HSX LN Equity,HSX.L,Insurance
GB00BLT1Y088,SAGA LN Equity,SAGA.L,Insurance
KYG7091M1096,PHNX LN Equity,PHNX.L,Insurance
GB00BYQ0JC66,BEZ LN Equity,BEZ.L,Insurance
BMG5361W1047,LRE LN Equity,LRE.L,Insurance
GB0005203376,JLT LN Equity,JLT.L,Insurance
GB00B8KJH563,ESUR LN Equity,ESUR.L,Insurance
GB00BCRX1J15,JRP LN Equity,JRP.L,Insurance
GB00BYRJH519,HSTG LN Equity,HSTG.L,Insurance
FR0000120628,CS FP Equity,CS.PA,Insurance
DE0008404005,ALV GY Equity,ALV.DE,Insurance
DE0008430026,MUV2 GY Equity,MUV2.DE,Insurance
NL0000303709,AGN NA Equity,AGN.AS,Insurance
NL0010773842,NN NA Equity,NN.AS,Insurance
ES0124244E34,MAP SM Equity,MAP.MC,Insurance
US0268747849,AIG UN Equity,AIG,Insurance
US0200021014,ALL UN Equity,ALL,Insurance
US0846707026,BRK/B UN Equity,BRK/B,Insurance
NO0010582521,GJF NO Equity,GJF.OL,Insurance
US59156R1086,MET UN Equity,MET,Insurance
FI0009003305,SAMAS FH Equity,SAMAS.HE,Insurance
NO0003053605,STB NO Equity,STB.OL,Insurance
US89417E1091,TRV UN Equity,TRV,Insurance
DK0060636678,TRYG DC Equity,TRYG.CO,Insurance
IT0000062072,G IM Equity,G.MI,Insurance
CH0011075394,ZURN VX Equity,ZURN.VX,Insurance
CH0126881561,SREN VX Equity,SREN.VX,Insurance
CH0014852781,SLHN VX Equity,SLHN.VX,Insurance
GB00BVYVFW23,AUTO LN Equity,AUTO.L,Internet
GB00B2987V85,RMV LN Equity,RMV.L,Internet
GB00BKX5CN86,JE/ LN Equity,JE.L,Internet
GB0034264548,PAYS LN Equity,ITV.L,Internet
GB00B1ZBKY84,MONY LN Equity,MONY.L,Internet
GB00BMHTHT14,ZPLA LN Equity,ZPLA.L,Internet
US0231351067,AMZN UW Equity,AMZN,Internet
US0567521085,BIDU UW Equity,BIDU,Internet
US2786421030,EBAY UW Equity,EBAY,Internet
US30303M1027,FB UW Equity,FB,Internet
US02079K1079,GOOG UW Equity,GOOG,Internet
US02079K3059,GOOGL UW Equity,GOOGL,Internet
