ID_ISIN,Bloomberg,Yahoo,Industry
ES0111845014,ABE SM Equity,ABE.MC,Commercial Services
GB0007973794,SRP LN Equity,SRP.L,Computers
GB00B01QGK86,NCC LN Equity,NCC.L,Computers
GB00BV9FP302,CCC LN Equity,CCC.L,Computers
GB00BYZFZ918,SOPH LN Equity,SPH.L,Computers
GB00BYZDVK82,SCT LN Equity,SCT.L,Computers
FR0000125338,CAP FP Equity,CAP.PA,Computers
NL0000400653,GTO NA Equity,GTO.AS,Computers
ES0118594417,IDR SM Equity,IDR.MC,Computers
GB00B10RZP78,ULVR LN Equity,ULVR.L,Cosmetics/Personal Care
GB00B19Z1432,PZC LN Equity,PZC.L,Cosmetics/Personal Care
FR0000120321,OR FP Equity,OR.PA,Cosmetics/Personal Care
DE0005200000,BEI GY Equity,BEI.DE,Cosmetics/Personal Care
NL0000009355,UNA NA Equity,UNA.AS,Cosmetics/Personal Care
JE00BFNWV485,WOS LN Equity,WOS.L,Distribution/Wholesale
GB00B0744B38,BNZL LN Equity,BNZL.L,Distribution/Wholesale
GB00B61TVQ02,INCH LN Equity,INCH.L,Distribution/Wholesale
GB0001826634,DPLM LN Equity,DPLM.L,Distribution/Wholesale
GB0008025412,SHI LN Equity,SHI.L,Distribution/Wholesale
CA29382B1022,ETO LN Equity,ETO.L,Distribution/Wholesale
GB00B0SWJX34,LSE LN Equity,LSE.L,Diversified Finan Serv
GB00B1Z4ST84,PFG LN Equity,PFG.L,Diversified Finan Serv
GB00BYYK2V80,WPG LN Equity,ICP.L,Diversified Finan Serv
GB0002405495,SDR LN Equity,SDR.L,Diversified Finan Serv
GB00B1VZ0M25,HL/ LN Equity,HL.L,Diversified Finan Serv
GB00B06QFB75,IGG LN Equity,IGG.L,Diversified Finan Serv
GB0000031285,ADN LN Equity,ADN.L,Diversified Finan Serv
JE00B3CM9527,HGG LN Equity,HGG.L,Diversified Finan Serv
GB0033872168,IAP LN Equity,IAP.L,Diversified Finan Serv
GB00BYY5B507,ICP LN Equity,ICP.L,Diversified Finan Serv
GB00B83VD954,EMG LN Equity,EMG.L,Diversified Finan Serv
GB0007668071,CBG LN Equity,CBG.L,Diversified Finan Serv
GB00B53P2009,JUP LN Equity,JUP.L,Diversified Finan Serv
GB00B132NW22,ASHM LN Equity,ASHM.L,Diversified Finan Serv
GB0002148343,RAT LN Equity,RAT.L,Diversified Finan Serv
GB00B2NGPM57,PAG LN Equity,PAG.L,Diversified Finan Serv
GB00B1H0DZ51,TLPR LN Equity,TLPR.L,Diversified Finan Serv
GB0001765816,BRW LN Equity,BRW.L,Diversified Finan Serv
GB00B1YKG049,IPF LN Equity,IPF.L,Diversified Finan Serv
GB00B02QND93,PAY LN Equity,PAY.L,Diversified Finan Serv
GB00BQQMCJ47,ALD LN Equity,ALD.L,Diversified Finan Serv
DE0005810055,DB1 GY Equity,DB1.DE,Diversified Finan Serv
GB0007908733,SSE LN Equity,SSE.L,Electric
GB00B1VNSX38,DRX LN Equity,DRX.L,Electric
FR0010208488,ENGI FP Equity,ENGI.PA,Electric
DE0007037129,RWE GY Equity,RWE.DE,Electric
DE000ENAG999,EOAN GY Equity,EOAN.DE,Electric
ES0144580Y14,IBE SM Equity,IBE.MC,Electric
ES0173093115,REE SM Equity,REE.MC,Electric
ES0130670112,ELE SM Equity,ELE.MC,Electric
FR0000121972,SU FP Equity,SU.PA,Electrical Compo&Equip
FR0010307819,LR FP Equity,LR.PA,Electrical Compo&Equip
ES0143416115,GAM SM Equity,GAM.MC,Electrical Compo&Equip
GB0004052071,HLMA LN Equity,HLMA.L,Electronics
GB0003308607,SXS LN Equity,SXS.L,Electronics
GB00BVFNZH21,ROR LN Equity,ROR.L,Electronics
GB0003096442,ECM LN Equity,ECM.L,Electronics
GB0007323586,RSW LN Equity,RSW.L,Electronics
NL0000009538,PHIA NA Equity,PHIA.AS,Electronics
GB00B1FP8915,BBA LN Equity,BBA.L,Engineering&Construction
GB0000961622,BBY LN Equity,BBY.L,Engineering&Construction
GB0007365546,CLLN LN Equity,CLLN.L,Engineering&Construction
GB0004915632,KIE LN Equity,KIE.L,Engineering&Construction
GB00BYYTFB60,HSV LN Equity,HSV.L,Engineering&Construction
GB0004866223,KLR LN Equity,KLR.L,Engineering&Construction
FR0000125486,DG FP Equity,DG.PA,Engineering&Construction
FR0000120503,EN FP Equity,EN.PA,Engineering&Construction
NL0000852580,BOKA NA Equity,BOKA.AS,Engineering&Construction
ES0118900010,FER SM Equity,FER.MC,Engineering&Construction
ES0105046009,AENA SM Equity,AENA.MC,Engineering&Construction
ES0167050915,ACS SM Equity,ACS.MC,Engineering&Construction
ES0125220311,ANA SM Equity,ANA.MC,Engineering&Construction
ES0122060314,FCC SM Equity,FCC.MC,Engineering&Construction
ES0178165017,TRE SM Equity,TRE.MC,Engineering&Construction
ES0142090317,OHL SM Equity,OHL.MC,Engineering&Construction
ES0182870214,SCYR SM Equity,SCYR.MC,Engineering&Construction
IE00BWT6H894,PPB LN Equity,GFTU.L,Entertainment
GB00BDZT6P94,MERL LN Equity,MERL.L,Entertainment
GB0031698896,WMH LN Equity,WMH.L,Entertainment
GB00B0ZSH635,LAD LN Equity,LAD.L,Entertainment
GB00B15FWH70,CINE LN Equity,CINE.L,Entertainment
GB00B1L5QH97,RNK LN Equity,RNK.L,Entertainment
GB0008847096,TSCO LN Equity,TSCO.L,Food
GB0006731235,ABF LN Equity,ABF.L,Food
GB0006043169,MRW LN Equity,MRW.L,Food
GB00B019KW72,SBRY LN Equity,SBRY.L,Food
GB00B01TND91,BOK LN Equity,BOK.L,Food
GB0008754136,TATE LN Equity,TATE.L,Food
IE0003864109,GNC LN Equity,GNC.L,Food
GB00BNGWY422,SSPG LN Equity,SSPG.L,Food
GB0002318888,CWK LN Equity,CWK.L,Food
GB00B63QSB39,GRG LN Equity,GRG.L,Food
GB00B3MBS747,OCDO LN Equity,OCDO.L,Food
GB0002502812,DCG LN Equity,DCG.L,Food
FR0000120644,BN FP Equity,BN.PA,Food
FR0000120172,CA FP Equity,CA.PA,Food
NL0010672325,AH NA Equity,AH.AS,Food
ES0126775032,DIA SM Equity,DIA.MC,Food
GB00BLNN3L44,CPG LN Equity,CPG.L,Food Service
FR0000121220,SW FP Equity,SW.PA,Food Service
GB00B1CRLC47,MNDI LN Equity,MNDI.L,Forest Products&Paper
GB0008220112,SMDS LN Equity,SMDS.L,Forest Products&Paper
GB00B08SNH34,NG/ LN Equity,NG.L,Gas
GB00B033F229,CNA LN Equity,CNA.L,Gas
ES0116870314,GAS SM Equity,GAS.MC,Gas
ES0130960018,ENG SM Equity,ENG.MC,Gas
GB0009223206,SN/ LN Equity,SN.L,Healthcare-Products
FR0000121667,EI FP Equity,EI.PA,Healthcare-Products
GB00B8HX8Z88,MDC LN Equity,SGE.L,Healthcare-Services
IE0033024807,UDG LN Equity,UDG.L,Healthcare-Services
GB00BNLPYF73,SPI LN Equity,SPI.L,Healthcare-Services
GB00B7FC0762,NMC LN Equity,NMC.L,Healthcare-Services
DE0005785604,FRE GY Equity,FRE.DE,Healthcare-Services
DE0005785802,FME GY Equity,FME.DE,Healthcare-Services
GB0004657408,MTO LN Equity,MTO.L,Holding Companies-Divers
GB0008782301,TW/ LN Equity,TW.L,Home Builders
GB0006825383,PSN LN Equity,PSN.L,Home Builders
GB0000811801,BDEV LN Equity,BDEV.L,Home Builders
GB00B02L3W35,BKG LN Equity,BKG.L,Home Builders
GB0000904986,BWY LN Equity,BWY.L,Home Builders
GB00B8VZXT93,CRST LN Equity,CRST.L,Home Builders
GB0001859296,BVS LN Equity,BVS.L,Home Builders
GB00B3Y2J508,GFRD LN Equity,GFRD.L,Home Builders
GB0007282386,RDW LN Equity,RDW.L,Home Builders
GB0005576813,HWDN LN Equity,HWDN.L,Home Furnishings
GB00B24CGK77,RB/ LN Equity,RB.L,Household Products/Wares
DE0006048432,HEN3 GY Equity,HEN3.DE,Household Products/Wares
GB0007099541,PRU LN Equity,PRU.L,Insurance
