Bloomberg,Yahoo,Industry,Name,Curncy,CcyAdj,TickerMultiplier
SRE UN Equity,SRE,Utilities,Sempra Energy,USD,1,1
MCO UN Equity,MCO,Financials,Moody's Corp,USD,1,1
BKNG UW Equity,BKNG,Consumer Discretionary,Booking Holdings Inc,USD,1,1
FFIV UW Equity,FFIV,Information Technology,F5 Networks Inc,USD,1,1
AKAM UW Equity,AKAM,Information Technology,Akamai Technologies Inc,USD,1,1
CRL UN Equity,CRL,Health Care,Charles River Laboratories International,USD,1,1
MKTX UW Equity,MKTX,Financials,MarketAxess Holdings Inc,USD,1,1
DVN UN Equity,DVN,Energy,Devon Energy Corp,USD,1,1
GOOGL UW Equity,GOOGL,Communication Services,Alphabet Inc,USD,1,1
TFX UN Equity,TFX,Health Care,Teleflex Inc,USD,1,1
ALLE UN Equity,ALLE,Industrials,Allegion plc,USD,1,1
NFLX UW Equity,NFLX,Communication Services,Netflix Inc,USD,1,1
A UN Equity,A,Health Care,Agilent Technologies Inc,USD,1,1
TRMB UW Equity,TRMB,Information Technology,Trimble Inc,USD,1,1
ANTM UN Equity,ANTM,Health Care,Anthem Inc,USD,1,1
CME UW Equity,CME,Financials,CME Group Inc,USD,1,1
JNPR UN Equity,JNPR,Information Technology,Juniper Networks Inc,USD,1,1
BLK UN Equity,BLK,Financials,BlackRock Inc,USD,1,1
DTE UN Equity,DTE,Utilities,DTE Energy Co,USD,1,1
CE UN Equity,CE,Materials,Celanese Corp,USD,1,1
NDAQ UW Equity,NDAQ,Financials,Nasdaq Inc,USD,1,1
PM UN Equity,PM,Consumer Staples,Philip Morris International Inc,USD,1,1
IR UN Equity,IR,Industrials,Ingersoll Rand Inc,USD,1,1
CRM UN Equity,CRM,Information Technology,salesforce.com Inc,USD,1,1
HII UN Equity,HII,Industrials,Huntington Ingalls Industries Inc,USD,1,1
MET UN Equity,MET,Financials,MetLife Inc,USD,1,1
UA UN Equity,UA,Consumer Discretionary,Under Armour Inc,USD,1,1
TPR UN Equity,TPR,Consumer Discretionary,Tapestry Inc,USD,1,1
CSX UW Equity,CSX,Industrials,CSX Corp,USD,1,1
EW UN Equity,EW,Health Care,Edwards Lifesciences Corp,USD,1,1
AMP UN Equity,AMP,Financials,Ameriprise Financial Inc,USD,1,1
ZBRA UW Equity,ZBRA,Information Technology,Zebra Technologies Corp,USD,1,1
ZBH UN Equity,ZBH,Health Care,Zimmer Biomet Holdings Inc,USD,1,1
CBRE UN Equity,CBRE,Real Estate,CBRE Group Inc,USD,1,1
MA UN Equity,MA,Information Technology,Mastercard Inc,USD,1,1
KMX UN Equity,KMX,Consumer Discretionary,CarMax Inc,USD,1,1
ICE UN Equity,ICE,Financials,Intercontinental Exchange Inc,USD,1,1
FIS UN Equity,FIS,Information Technology,Fidelity National Information Services I,USD,1,1
CMG UN Equity,CMG,Consumer Discretionary,Chipotle Mexican Grill Inc,USD,1,1
WYNN UW Equity,WYNN,Consumer Discretionary,Wynn Resorts Ltd,USD,1,1
LYV UN Equity,LYV,Communication Services,Live Nation Entertainment Inc,USD,1,1
AIZ UN Equity,AIZ,Financials,Assurant Inc,USD,1,1
NRG UN Equity,NRG,Utilities,NRG Energy Inc,USD,1,1
MNST UW Equity,MNST,Consumer Staples,Monster Beverage Corp,USD,1,1
RF UN Equity,RF,Financials,Regions Financial Corp,USD,1,1
MOS UN Equity,MOS,Materials,Mosaic Co/The,USD,1,1
EXPE UW Equity,EXPE,Consumer Discretionary,Expedia Group Inc,USD,1,1
EVRG UN Equity,EVRG,Utilities,Evergy Inc,USD,1,1
DISCA UW Equity,DISCA,Communication Services,Discovery Inc,USD,1,1
CF UN Equity,CF,Materials,CF Industries Holdings Inc,USD,1,1
APA UW Equity,APA,Energy,APA Corp,USD,1,1
LDOS UN Equity,LDOS,Industrials,Leidos Holdings Inc,USD,1,1
GOOG UW Equity,GOOG,Communication Services,Alphabet Inc,USD,1,1
COO UN Equity,COO,Health Care,Cooper Cos Inc/The,USD,1,1
TEL UN Equity,TEL,Information Technology,TE Connectivity Ltd,USD,1,1
DFS UN Equity,DFS,Financials,Discover Financial Services,USD,1,1
V UN Equity,V,Information Technology,Visa Inc,USD,1,1
MAA UN Equity,MAA,Real Estate,Mid-America Apartment Communities Inc,USD,1,1
XYL UN Equity,XYL,Industrials,Xylem Inc/NY,USD,1,1
MPC UN Equity,MPC,Energy,Marathon Petroleum Corp,USD,1,1
AMD UW Equity,AMD,Information Technology,Advanced Micro Devices Inc,USD,1,1
TSCO UW Equity,TSCO,Consumer Discretionary,Tractor Supply Co,USD,1,1
RMD UN Equity,RMD,Health Care,ResMed Inc,USD,1,1
MTD UN Equity,MTD,Health Care,Mettler-Toledo International Inc,USD,1,1
CPRT UW Equity,CPRT,Industrials,Copart Inc,USD,1,1
FTNT UW Equity,FTNT,Information Technology,Fortinet Inc,USD,1,1
ALB UN Equity,ALB,Materials,Albemarle Corp,USD,1,1
MRNA UW Equity,MRNA,Health Care,Moderna Inc,USD,1,1
ESS UN Equity,ESS,Real Estate,Essex Property Trust Inc,USD,1,1
O UN Equity,O,Real Estate,Realty Income Corp,USD,1,1
WRK UN Equity,WRK,Materials,Westrock Co,USD,1,1
INFO UN Equity,INFO,Industrials,IHS Markit Ltd,USD,1,1
WAB UN Equity,WAB,Industrials,Westinghouse Air Brake Technologies Corp,USD,1,1
POOL UW Equity,POOL,Consumer Discretionary,Pool Corp,USD,1,1
WDC UW Equity,WDC,Information Technology,Western Digital Corp,USD,1,1
PEP UW Equity,PEP,Consumer Staples,PepsiCo Inc,USD,1,1
FANG UW Equity,FANG,Energy,Diamondback Energy Inc,USD,1,1
MXIM UW Equity,MXIM,Information Technology,Maxim Integrated Products Inc,USD,1,1
NOW UN Equity,NOW,Information Technology,ServiceNow Inc,USD,1,1
CHD UN Equity,CHD,Consumer Staples,Church & Dwight Co Inc,USD,1,1
DRE UN Equity,DRE,Real Estate,Duke Realty Corp,USD,1,1
FRT UN Equity,FRT,Real Estate,Federal Realty Investment Trust,USD,1,1
MGM UN Equity,MGM,Consumer Discretionary,MGM Resorts International,USD,1,1
AEP UW Equity,AEP,Utilities,American Electric Power Co Inc,USD,1,1
PTC UW Equity,PTC,Information Technology,PTC Inc,USD,1,1
JBHT UW Equity,JBHT,Industrials,JB Hunt Transport Services Inc,USD,1,1
LRCX UW Equity,LRCX,Information Technology,Lam Research Corp,USD,1,1
MHK UN Equity,MHK,Consumer Discretionary,Mohawk Industries Inc,USD,1,1
PNR UN Equity,PNR,Industrials,Pentair PLC,USD,1,1
VRTX UW Equity,VRTX,Health Care,Vertex Pharmaceuticals Inc,USD,1,1
AMCR UN Equity,AMCR,Materials,Amcor PLC,USD,1,1
FB UW Equity,FB,Communication Services,Facebook Inc,USD,1,1
TMUS UW Equity,TMUS,Communication Services,T-Mobile US Inc,USD,1,1
URI UN Equity,URI,Industrials,United Rentals Inc,USD,1,1
ARE UN Equity,ARE,Real Estate,Alexandria Real Estate Equities Inc,USD,1,1
HON UW Equity,HON,Industrials,Honeywell International Inc,USD,1,1
ABMD UW Equity,ABMD,Health Care,ABIOMED Inc,USD,1,1
DAL UN Equity,DAL,Industrials,Delta Air Lines Inc,USD,1,1
UAL UW Equity,UAL,Industrials,United Airlines Holdings Inc,USD,1,1
STX UW Equity,STX,Information Technology,Seagate Technology Holdings PLC,USD,1,1
NWS UW Equity,NWS,Communication Services,News Corp,USD,1,1
CNC UN Equity,CNC,Health Care,Centene Corp,USD,1,1
MLM UN Equity,MLM,Materials,Martin Marietta Materials Inc,USD,1,1
TER UW Equity,TER,Information Technology,Teradyne Inc,USD,1,1
PYPL UW Equity,PYPL,Information Technology,PayPal Holdings Inc,USD,1,1
TSLA UW Equity,TSLA,Consumer Discretionary,Tesla Inc,USD,1,1
DISH UW Equity,DISH,Communication Services,DISH Network Corp,USD,1,1
PENN UW Equity,PENN,Consumer Discretionary,Penn National Gaming Inc,USD,1,1
DOW UN Equity,DOW,Materials,Dow Inc,USD,1,1
RE UN Equity,RE,Financials,Everest Re Group Ltd,USD,1,1
TDY UN Equity,TDY,Industrials,Teledyne Technologies Inc,USD,1,1
NWSA UW Equity,NWSA,Communication Services,News Corp,USD,1,1
EXC UW Equity,EXC,Utilities,Exelon Corp,USD,1,1
GPN UN Equity,GPN,Information Technology,Global Payments Inc,USD,1,1
CCI UN Equity,CCI,Real Estate,Crown Castle International Corp,USD,1,1
APTV UN Equity,APTV,Consumer Discretionary,Aptiv PLC,USD,1,1
AAP UN Equity,AAP,Consumer Discretionary,Advance Auto Parts Inc,USD,1,1
ALGN UW Equity,ALGN,Health Care,Align Technology Inc,USD,1,1
ILMN UW Equity,ILMN,Health Care,Illumina Inc,USD,1,1
LKQ UW Equity,LKQ,Consumer Discretionary,LKQ Corp,USD,1,1
NLSN UN Equity,NLSN,Industrials,Nielsen Holdings PLC,USD,1,1
GRMN UW Equity,GRMN,Consumer Discretionary,Garmin Ltd,USD,1,1
ZTS UN Equity,ZTS,Health Care,Zoetis Inc,USD,1,1
DLR UN Equity,DLR,Real Estate,Digital Realty Trust Inc,USD,1,1
EQIX UW Equity,EQIX,Real Estate,Equinix Inc,USD,1,1
LVS UN Equity,LVS,Consumer Discretionary,Las Vegas Sands Corp,USD,1,1
DISCK UW Equity,DISCK,Communication Services,Discovery Inc,USD,1,1
MELI UW Equity,MELI,Consumer Discretionary,MercadoLibre Inc,USD,1,1
MXIM UW Equity,MXIM,Information Technology,Maxim Integrated Products Inc,USD,1,1
CDW UW Equity,CDW,Information Technology,CDW Corp/DE,USD,1,1
MDLZ UW Equity,MDLZ,Consumer Staples,Mondelez International Inc,USD,1,1
CPRT UW Equity,CPRT,Industrials,Copart Inc,USD,1,1
AMZN UW Equity,AMZN,Consumer Discretionary,Amazon.com Inc,USD,1,1
GOOG UW Equity,GOOG,Communication Services,Alphabet Inc,USD,1,1
IDXX UW Equity,IDXX,Health Care,IDEXX Laboratories Inc,USD,1,1
CHTR UW Equity,CHTR,Communication Services,Charter Communications Inc,USD,1,1
VRSN UW Equity,VRSN,Information Technology,VeriSign Inc,USD,1,1
CSCO UW Equity,CSCO,Information Technology,Cisco Systems Inc/Delaware,USD,1,1
MTCH UW Equity,MTCH,Communication Services,Match Group Inc,USD,1,1
INTC UW Equity,INTC,Information Technology,Intel Corp,USD,1,1
MSFT UW Equity,MSFT,Information Technology,Microsoft Corp,USD,1,1
NVDA UW Equity,NVDA,Information Technology,NVIDIA Corp,USD,1,1
CTSH UW Equity,CTSH,Information Technology,Cognizant Technology Solutions Corp,USD,1,1
ISRG UW Equity,ISRG,Health Care,Intuitive Surgical Inc,USD,1,1
ALGN UW Equity,ALGN,Health Care,Align Technology Inc,USD,1,1
EBAY UW Equity,EBAY,Consumer Discretionary,eBay Inc,USD,1,1
TEAM UW Equity,TEAM,Information Technology,Atlassian Corp PLC,USD,1,1
MRVL UW Equity,MRVL,Information Technology,Marvell Technology Inc,USD,1,1
INCY UW Equity,INCY,Health Care,Incyte Corp,USD,1,1
BKNG UW Equity,BKNG,Consumer Discretionary,Booking Holdings Inc,USD,1,1
ILMN UW Equity,ILMN,Health Care,Illumina Inc,USD,1,1
JD UW Equity,JD,Consumer Discretionary,JD.com Inc,USD,1,1
TXN UW Equity,TXN,Information Technology,Texas Instruments Inc,USD,1,1
KHC UW Equity,KHC,Consumer Staples,Kraft Heinz Co/The,USD,1,1
GOOGL UW Equity,GOOGL,Communication Services,Alphabet Inc,USD,1,1
DOCU UW Equity,DOCU,Information Technology,DocuSign Inc,USD,1,1
NFLX UW Equity,NFLX,Communication Services,Netflix Inc,USD,1,1
KDP UW Equity,KDP,Consumer Staples,Keurig Dr Pepper Inc,USD,1,1
ADP UW Equity,ADP,Information Technology,Automatic Data Processing Inc,USD,1,1
XEL UW Equity,XEL,Utilities,Xcel Energy Inc,USD,1,1
WBA UW Equity,WBA,Consumer Staples,Walgreens Boots Alliance Inc,USD,1,1
PDD UW Equity,PDD,Consumer Discretionary,Pinduoduo Inc,USD,1,1
AMD UW Equity,AMD,Information Technology,Advanced Micro Devices Inc,USD,1,1
ADBE UW Equity,ADBE,Information Technology,Adobe Inc,USD,1,1
AMGN UW Equity,AMGN,Health Care,Amgen Inc,USD,1,1
CSX UW Equity,CSX,Industrials,CSX Corp,USD,1,1
AAPL UW Equity,AAPL,Information Technology,Apple Inc,USD,1,1
ADSK UW Equity,ADSK,Information Technology,Autodesk Inc,USD,1,1
CTAS UW Equity,CTAS,Industrials,Cintas Corp,USD,1,1
CMCSA UW Equity,CMCSA,Communication Services,Comcast Corp,USD,1,1
AEP UW Equity,AEP,Utilities,American Electric Power Co Inc,USD,1,1
KLAC UW Equity,KLAC,Information Technology,KLA Corp,USD,1,1
AVGO UW Equity,AVGO,Information Technology,Broadcom Inc,USD,1,1
CDNS UW Equity,CDNS,Information Technology,Cadence Design Systems Inc,USD,1,1
PCAR UW Equity,PCAR,Industrials,PACCAR Inc,USD,1,1
COST UW Equity,COST,Consumer Staples,Costco Wholesale Corp,USD,1,1
REGN UW Equity,REGN,Health Care,Regeneron Pharmaceuticals Inc,USD,1,1
SWKS UW Equity,SWKS,Information Technology,Skyworks Solutions Inc,USD,1,1
ATVI UW Equity,ATVI,Communication Services,Activision Blizzard Inc,USD,1,1
AMAT UW Equity,AMAT,Information Technology,Applied Materials Inc,USD,1,1
LULU UW Equity,LULU,Consumer Discretionary,Lululemon Athletica Inc,USD,1,1
CERN UW Equity,CERN,Health Care,Cerner Corp,USD,1,1
NTES UW Equity,NTES,Communication Services,NetEase Inc,USD,1,1
SNPS UW Equity,SNPS,Information Technology,Synopsys Inc,USD,1,1
SPLK UW Equity,SPLK,Information Technology,Splunk Inc,USD,1,1
EA UW Equity,EA,Communication Services,Electronic Arts Inc,USD,1,1
FAST UW Equity,FAST,Industrials,Fastenal Co,USD,1,1
ANSS UW Equity,ANSS,Information Technology,ANSYS Inc,USD,1,1
FISV UW Equity,FISV,Information Technology,Fiserv Inc,USD,1,1
FB UW Equity,FB,Communication Services,Facebook Inc,USD,1,1
GILD UW Equity,GILD,Health Care,Gilead Sciences Inc,USD,1,1
SGEN UW Equity,SGEN,Health Care,Seagen Inc,USD,1,1
EXC UW Equity,EXC,Utilities,Exelon Corp,USD,1,1
LRCX UW Equity,LRCX,Information Technology,Lam Research Corp,USD,1,1
BIIB UW Equity,BIIB,Health Care,Biogen Inc,USD,1,1
VRTX UW Equity,VRTX,Health Care,Vertex Pharmaceuticals Inc,USD,1,1
PAYX UW Equity,PAYX,Information Technology,Paychex Inc,USD,1,1
ADI UW Equity,ADI,Information Technology,Analog Devices Inc,USD,1,1
PYPL UW Equity,PYPL,Information Technology,PayPal Holdings Inc,USD,1,1
QCOM UW Equity,QCOM,Information Technology,QUALCOMM Inc,USD,1,1
MAR UW Equity,MAR,Consumer Discretionary,Marriott International Inc/MD,USD,1,1
ROST UW Equity,ROST,Consumer Discretionary,Ross Stores Inc,USD,1,1
SBUX UW Equity,SBUX,Consumer Discretionary,Starbucks Corp,USD,1,1
PEP UW Equity,PEP,Consumer Staples,PepsiCo Inc,USD,1,1
XLNX UW Equity,XLNX,Information Technology,Xilinx Inc,USD,1,1
INTU UW Equity,INTU,Information Technology,Intuit Inc,USD,1,1
MCHP UW Equity,MCHP,Information Technology,Microchip Technology Inc,USD,1,1
MNST UW Equity,MNST,Consumer Staples,Monster Beverage Corp,USD,1,1
WDAY UW Equity,WDAY,Information Technology,Workday Inc,USD,1,1
CHKP UW Equity,CHKP,Information Technology,Check Point Software Technologies Ltd,USD,1,1
ORLY UW Equity,ORLY,Consumer Discretionary,O'Reilly Automotive Inc,USD,1,1
TSLA UW Equity,TSLA,Consumer Discretionary,Tesla Inc,USD,1,1
ASML UW Equity,ASML,Information Technology,ASML Holding NV,USD,1,1
TCOM UW Equity,TCOM,Consumer Discretionary,Trip.com Group Ltd,USD,1,1
NXPI UW Equity,NXPI,Information Technology,NXP Semiconductors NV,USD,1,1
HON UW Equity,HON,Industrials,Honeywell International Inc,USD,1,1
OKTA UW Equity,OKTA,Information Technology,Okta Inc,USD,1,1
MRNA UW Equity,MRNA,Health Care,Moderna Inc,USD,1,1
SIRI UW Equity,SIRI,Communication Services,Sirius XM Holdings Inc,USD,1,1
MU UW Equity,MU,Information Technology,Micron Technology Inc,USD,1,1
BIDU UW Equity,BIDU,Communication Services,Baidu Inc,USD,1,1
TMUS UW Equity,TMUS,Communication Services,T-Mobile US Inc,USD,1,1
VRSK UW Equity,VRSK,Industrials,Verisk Analytics Inc,USD,1,1
DLTR UW Equity,DLTR,Consumer Discretionary,Dollar Tree Inc,USD,1,1
FOXA UW Equity,FOXA,Communication Services,Fox Corp,USD,1,1
PTON UW Equity,PTON,Consumer Discretionary,Peloton Interactive Inc,USD,1,1
FOX UW Equity,FOX,Communication Services,Fox Corp,USD,1,1
ZM UW Equity,ZM,Information Technology,Zoom Video Communications Inc,USD,1,1
DXCM UW Equity,DXCM,Health Care,Dexcom Inc,USD,1,1
ENEL IM Equity,ENEL.MI,Utilities,Enel SpA,EUR,0.85,1
ISP IM Equity,ISP.MI,Financials,Intesa Sanpaolo SpA,EUR,0.85,1
CRH ID Equity,CRG.IR,Materials,CRH PLC,EUR,0.85,1
ENI IM Equity,ENI.MI,Energy,Eni SpA,EUR,0.85,1
FLTR ID Equity,FLTR.IR,Consumer Discretionary,Flutter Entertainment PLC,EUR,0.85,1
ENR GY Equity,ENR.DE,Industrials,Siemens Energy AG,EUR,0.85,1
MTX GY Equity,MTX.DE,Industrials,MTU Aero Engines AG,EUR,0.85,1
LIN GY Equity,LIN.DE,Materials,Linde PLC,EUR,0.85,1
DHER GY Equity,DHER.DE,Consumer Discretionary,Delivery Hero SE,EUR,0.85,1
DWNI GY Equity,DWNI.DE,Real Estate,Deutsche Wohnen SE,EUR,0.85,1
1COV GY Equity,1COV.DE,Materials,Covestro AG,EUR,0.85,1
ALV GY Equity,ALV.DE,Financials,Allianz SE,EUR,0.85,1
RWE GY Equity,RWE.DE,Utilities,RWE AG,EUR,0.85,1
BAYN GY Equity,BAYN.DE,Health Care,Bayer AG,EUR,0.85,1
BMW GY Equity,BMW.DE,Consumer Discretionary,Bayerische Motoren Werke AG,EUR,0.85,1
DBK GY Equity,DBK.DE,Financials,Deutsche Bank AG,EUR,0.85,1
BAS GY Equity,BAS.DE,Materials,BASF SE,EUR,0.85,1
HEN3 GY Equity,HEN3.DE,Consumer Staples,Henkel AG & Co KGaA,EUR,0.85,1
SIE GY Equity,SIE.DE,Industrials,Siemens AG,EUR,0.85,1
VOW3 GY Equity,VOW3.DE,Consumer Discretionary,Volkswagen AG,EUR,0.85,1
EOAN GY Equity,EOAN.DE,Utilities,E.ON SE,EUR,0.85,1
HEI GY Equity,HEI.DE,Materials,HeidelbergCement AG,EUR,0.85,1
MUV2 GY Equity,MUV2.DE,Financials,Munich Re,EUR,0.85,1
FRE GY Equity,FRE.DE,Health Care,Fresenius SE & Co KGaA,EUR,0.85,1
SAP GY Equity,SAP.DE,Information Technology,SAP SE,EUR,0.85,1
MRK GY Equity,MRK.DE,Health Care,Merck KGaA,EUR,0.85,1
ADS GY Equity,ADS.DE,Consumer Discretionary,adidas AG,EUR,0.85,1
DTE GY Equity,DTE.DE,Communication Services,Deutsche Telekom AG,EUR,0.85,1
DPW GY Equity,DPW.DE,Industrials,Deutsche Post AG,EUR,0.85,1
FME GY Equity,FME.DE,Health Care,Fresenius Medical Care AG & Co KGaA,EUR,0.85,1
DAI GY Equity,DAI.DE,Consumer Discretionary,Daimler AG,EUR,0.85,1
IFX GY Equity,IFX.DE,Information Technology,Infineon Technologies AG,EUR,0.85,1
DB1 GY Equity,DB1.DE,Financials,Deutsche Boerse AG,EUR,0.85,1
VNA GY Equity,VNA.DE,Real Estate,Vonovia SE,EUR,0.85,1
CON GY Equity,CON.DE,Consumer Discretionary,Continental AG,EUR,0.85,1
AZN LN Equity,AZN.L,Health Care,AstraZeneca PLC,GBp,0.72,100
ULVR LN Equity,ULVR.L,Consumer Staples,Unilever PLC,GBp,0.72,100
HSBA LN Equity,HSBA.L,Financials,HSBC Holdings PLC,GBp,0.72,100
DGE LN Equity,DGE.L,Consumer Staples,Diageo PLC,GBp,0.72,100
GSK LN Equity,GSK.L,Health Care,GlaxoSmithKline PLC,GBp,0.72,100
RIO LN Equity,RIO.L,Materials,Rio Tinto PLC,GBp,0.72,100
BP/ LN Equity,BP.L,Energy,BP PLC,GBp,0.72,100
RDSA LN Equity,RDSA.L,Energy,Royal Dutch Shell PLC,GBp,0.72,100
BATS LN Equity,BATS.L,Consumer Staples,British American Tobacco PLC,GBp,0.72,100
RDSB LN Equity,RDSB.L,Energy,Royal Dutch Shell PLC,GBp,0.72,100
BHP LN Equity,BHP.L,Materials,BHP Group PLC,GBp,0.72,100
AAL LN Equity,AAL.L,Materials,Anglo American PLC,GBp,0.72,100
REL LN Equity,REL.L,Industrials,RELX PLC,GBp,0.72,100
GLEN LN Equity,GLEN.L,Materials,Glencore PLC,GBp,0.72,100
PRU LN Equity,PRU.L,Financials,Prudential PLC,GBp,0.72,100
RKT LN Equity,RKT.L,Consumer Staples,Reckitt Benckiser Group PLC,GBp,0.72,100
NG/ LN Equity,NG.L,Utilities,National Grid PLC,GBp,0.72,100
VOD LN Equity,VOD.L,Communication Services,Vodafone Group PLC,GBp,0.72,100
LLOY LN Equity,LLOY.L,Financials,Lloyds Banking Group PLC,GBp,0.72,100
BARC LN Equity,BARC.L,Financials,Barclays PLC,GBp,0.72,100
CRH LN Equity,CRH.L,Materials,CRH PLC,GBp,0.72,100
LSEG LN Equity,LSEG.L,Financials,London Stock Exchange Group PLC,GBp,0.72,100
EXPN LN Equity,EXPN.L,Industrials,Experian PLC,GBp,0.72,100
CPG LN Equity,CPG.L,Consumer Discretionary,Compass Group PLC,GBp,0.72,100
AHT LN Equity,AHT.L,Industrials,Ashtead Group PLC,GBp,0.72,100
FERG LN Equity,FERG.L,Industrials,Ferguson PLC,GBp,0.72,100
FLTR LN Equity,FLTR.L,Consumer Discretionary,Flutter Entertainment PLC,GBp,0.72,100
SMT LN Equity,SMT.L,N/A,Scottish Mortgage Investment Trust PLC,GBp,0.72,100
BA/ LN Equity,BA.L,Industrials,BAE Systems PLC,GBp,0.72,100
TSCO LN Equity,TSCO.L,Consumer Staples,Tesco PLC,GBp,0.72,100
LGEN LN Equity,LGEN.L,Financials,Legal & General Group PLC,GBp,0.72,100
SSE LN Equity,SSE.L,Utilities,SSE PLC,GBp,0.72,100
AV/ LN Equity,AV.L,Financials,Aviva PLC,GBp,0.72,100
BT/A LN Equity,BT-A.L,Communication Services,BT Group PLC,GBp,0.72,100
SGRO LN Equity,SGRO.L,Real Estate,Segro PLC,GBp,0.72,100
IMB LN Equity,IMB.L,Consumer Staples,Imperial Brands PLC,GBp,0.72,100
III LN Equity,III.L,Financials,3i Group PLC,GBp,0.72,100
SN/ LN Equity,SN.L,Health Care,Smith & Nephew PLC,GBp,0.72,100
JET LN Equity,JET.L,Consumer Discretionary,Just Eat Takeaway.com NV,GBp,0.72,100
CRDA LN Equity,CRDA.L,Materials,Croda International PLC,GBp,0.72,100
STAN LN Equity,STAN.L,Financials,Standard Chartered PLC,GBp,0.72,100
WPP LN Equity,WPP.L,Communication Services,WPP PLC,GBp,0.72,100
NWG LN Equity,NWG.L,Financials,Natwest Group PLC,GBp,0.72,100
ENT LN Equity,ENT.L,Consumer Discretionary,Entain PLC,GBp,0.72,100
SPX LN Equity,SPX.L,Industrials,Spirax-Sarco Engineering PLC,GBp,0.72,100
HLMA LN Equity,HLMA.L,Information Technology,Halma PLC,GBp,0.72,100
SKG LN Equity,SKG.L,Materials,Smurfit Kappa Group PLC,GBp,0.72,100
RTO LN Equity,RTO.L,Industrials,Rentokil Initial PLC,GBp,0.72,100
NXT LN Equity,NXT.L,Consumer Discretionary,Next PLC,GBp,0.72,100
MNDI LN Equity,MNDI.L,Materials,Mondi PLC,GBp,0.72,100
PSN LN Equity,PSN.L,Consumer Discretionary,Persimmon PLC,GBp,0.72,100
BNZL LN Equity,BNZL.L,Industrials,Bunzl PLC,GBp,0.72,100
OCDO LN Equity,OCDO.L,Consumer Discretionary,Ocado Group PLC,GBp,0.72,100
BRBY LN Equity,BRBY.L,Consumer Discretionary,Burberry Group PLC,GBp,0.72,100
IHG LN Equity,IHG.L,Consumer Discretionary,InterContinental Hotels Group PLC,GBp,0.72,100
STJ LN Equity,STJ.L,Financials,St James's Place PLC,GBp,0.72,100
ITRK LN Equity,ITRK.L,Industrials,Intertek Group PLC,GBp,0.72,100
RR/ LN Equity,RR.L,Industrials,Rolls-Royce Holdings PLC,GBp,0.72,100
MRO LN Equity,MRO.L,Industrials,Melrose Industries PLC,GBp,0.72,100
SGE LN Equity,SGE.L,Information Technology,Sage Group PLC/The,GBp,0.72,100
INF LN Equity,INF.L,Communication Services,Informa PLC,GBp,0.72,100
KGF LN Equity,KGF.L,Consumer Discretionary,Kingfisher PLC,GBp,0.72,100
BDEV LN Equity,BDEV.L,Consumer Discretionary,Barratt Developments PLC,GBp,0.72,100
UU/ LN Equity,UU.L,Utilities,United Utilities Group PLC,GBp,0.72,100
ADM LN Equity,ADM.L,Financials,Admiral Group PLC,GBp,0.72,100
ABF LN Equity,ABF.L,Consumer Staples,Associated British Foods PLC,GBp,0.72,100
SVT LN Equity,SVT.L,Utilities,Severn Trent PLC,GBp,0.72,100
IAG LN Equity,IAG.L,Industrials,International Consolidated Airlines Grou,GBp,0.72,100
WTB LN Equity,WTB.L,Consumer Discretionary,Whitbread PLC,GBp,0.72,100
ABDN LN Equity,ABDN.L,Financials,Abrdn Plc,GBp,0.72,100
TW/ LN Equity,TW.L,Consumer Discretionary,Taylor Wimpey PLC,GBp,0.72,100
HL/ LN Equity,HL.L,Financials,Hargreaves Lansdown PLC,GBp,0.72,100
MNG LN Equity,MNG.L,Financials,M&G PLC,GBp,0.72,100
RMV LN Equity,RMV.L,Communication Services,Rightmove PLC,GBp,0.72,100
AUTO LN Equity,AUTO.L,Communication Services,Auto Trader Group PLC,GBp,0.72,100
ICP LN Equity,ICP.L,Financials,Intermediate Capital Group PLC,GBp,0.72,100
DCC LN Equity,DCC.L,Industrials,DCC PLC,GBp,0.72,100
PSON LN Equity,PSON.L,Communication Services,Pearson PLC,GBp,0.72,100
SMIN LN Equity,SMIN.L,Industrials,Smiths Group PLC,GBp,0.72,100
JMAT LN Equity,JMAT.L,Materials,Johnson Matthey PLC,GBp,0.72,100
BKG LN Equity,BKG.L,Consumer Discretionary,Berkeley Group Holdings PLC,GBp,0.72,100
SMDS LN Equity,SMDS.L,Materials,DS Smith PLC,GBp,0.72,100
POLY LN Equity,POLY.L,Materials,Polymetal International PLC,GBp,0.72,100
ANTO LN Equity,ANTO.L,Materials,Antofagasta PLC,GBp,0.72,100
CCH LN Equity,CCH.L,Consumer Staples,Coca-Cola HBC AG,GBp,0.72,100
LAND LN Equity,LAND.L,Real Estate,Land Securities Group PLC,GBp,0.72,100
BME LN Equity,BME.L,Consumer Discretionary,B&M European Value Retail SA,GBp,0.72,100
BLND LN Equity,BLND.L,Real Estate,British Land Co PLC/The,GBp,0.72,100
SBRY LN Equity,SBRY.L,Consumer Staples,J Sainsbury PLC,GBp,0.72,100
AVV LN Equity,AVV.L,Information Technology,AVEVA Group PLC,GBp,0.72,100
JD/ LN Equity,JD.L,Consumer Discretionary,JD Sports Fashion PLC,GBp,0.72,100
RMG LN Equity,RMG.L,Industrials,Royal Mail PLC,GBp,0.72,100
WEIR LN Equity,WEIR.L,Industrials,Weir Group PLC/The,GBp,0.72,100
ITV LN Equity,ITV.L,Communication Services,ITV PLC,GBp,0.72,100
